ID,Plot Name,Forest,District,Location,Treated,NewPlot,DataCollectors,Date,TimeStarted,Datum,UTMN,UTME,Aspect,Slope,DominantTreeSp,CoDominateSp,TopoPosition,DeadPineDist,Photo N Name,Photo S Name,PhotoN,PhotoS,ICOdata,Notes
1,1510207,Sierra,Bass Lake,Nelder Grove,N,N,"JB, SR, AW",6/1/2017,0.40625,,,,135,19,Pinus ponderosa,Abies concolor,Mid,NA,1510207_N,1510207_S,X,X,,monumented plot center still present- see last year for coordinates
2,1510210,Sierra,Bass Lake,Granddad,N,N,"SR, JB",6/7/2017,0.19791666667,,,,149,25,Calocedrus decurrens,Abies concolor,Mid,NA,1510210_N,1510210_S,X,X,X,plot point 111 = plot center
3,155111,Sierra,Bass Lake,Granddad,N,N,"SR, JB",6/12/2017,0.38819444444,,,,316,33,Abies concolor,Pinus ponderosa,Mid,13,155111_2017_N,155111_2017_S,X,X,X,"one cut stump in plot, plot on edge of thinned area"
4,155112,Sierra,Bass Lake,Granddad,N,N,"JB, SR",6/12/2016,0.54166666667,,,,300,27,Abies concolor,Calocedrus decurrens,Mid,See Notes,155112_2017_N,155112_2017_S,X,X,X,"approx. 50 m to nearest dead pine, dead conifers in plot"
5,155113,Sierra,Bass Lake,Granddad,N,N,"SR, JB",6/13/2017,0.37777777778,,,,298,42,Abies concolor,Calocedrus decurrens,Mid,N/A,155113_2017_N,155113_2017_S,X,X,X,
6,155115,Sierra,Bass Lake,Granddad,N,N,"SR, JB",6/13/2017,0.50694444444,,,,299,37,Calocedrus decurrens,Pinus ponderosa,Mid,40,155115_2017_N,155115_2017_N,X,X,X,
7,155114,Sierra,Bass Lake,Granddad,N,N,"SR, JB",6/14/2017,0.33888888889,,,,294,26,Quercus kelloggii,NA,Mid,NA,20170614_082351,20170614_082538,X,X,X,1 stump in plot
8,155131,Sierra,Bass Lake,Pine Grove,Y,N,"JB, SR",6/14/2017,0.54166666667,,,,354,16.5,Quercus kelloggii,None,Upper,N/A,131622,131728,X,X,X,aspect and slope ard sverages
9,155132,Sierra,Bass Lake,Pine Grove,Y,N,"SR, JB",6/14/2017,0.15277777778,,,,350,9,Quercus kelloggii,NA,Mid,N/A,20170614_154208,20170614_154256,X,X,X,
10,155133,Sierra,Bass Lake,Pine Grove,Y,N,"SR, JB",6/15/2017,0.37847222222,,,,21,64,Quercus kelloggii,None,Mid,NA,93105,93152,X,X,X,
11,155134,Sierra,Bass Lake,Pine Grove,Y,N,"S?, JB",6/15/2017,0.46111111111,,,,349,5,Quercus kelloggii,NA,Upper,NA,155134_2017_N,155134_2017_S,X,X,X,
12,155135,Sierra,Bass Lake,Pine Grove,Y,N,"SR, JB",6/15/2017,0.11875,,,,184,26,Quercus kelloggii,None,Mid,NA,155135_2017_N,155135_2017_S,X,X,X,
13,155136,Sierra,Bass Lake,Pine Grove,Y,N,"SR, JB",6/15/2017,0.5625,,,,265,13,None,None,Upper,NA,131916,132019,X,X,X,
14,4022012,Sierra,High Sierra,Blue Canyon3C,N,N,"SR, JB",6/19/2017,0.48958333333,,,,33,25,Pinus ponderosa,NA,Mid,NA,114525,114801,X,X,X,monument name different from plot name
15,4022022,Sierra,High Sierra,Blue Canyon3C,N,N,"SR, JB",6/19/2017,0.096527777778,,,,270,18,Calocedrus decurrens,NA,Mid,NA,4022022_2017_N,4022022_2017_S,X,X,X,
16,4022042,Sierra,High Sierra,Blue Canyon3C,N,N,"JB, SR",6/20/2017,0.33333333333,,,,239,24,Calocedrus decurrens,NA,Mid,NA,80803,80955,X,X,X,
17,4022072,Sierra,High Sierra,Blue Canyon3C,N,N,"SR, JB",6/20/2017,0.53402777778,,,,279,18,Calocedrus decurrens,Quercus kelloggii,Mid,NA,125927,130240,X,X,X,
18,405201,Sierra,High Sierra,Blue Canyon3C,Y,N,"JB, SR",6/22/2017,0.31944444444,,,,7,14,Quercus kelloggii,None,Mid,NA,74432,74513,X,X,X,current treatment occyring outside but near plot (removing dead trees from road buffer)
19,405202,Sierra,High Sierra,Blue Canyon3C,Y,N,"SR, JB",6/22/2017,0.36805555556,,,,38,21,Quercus kelloggii,Pinus ponderosa,Mid,NA,85618,85703,X,X,X,monument mislabeled as 450202
20,405204,Sierra,High Sierra,Blue Canyon3C,Y,N,"SR, JB",6/22/2017,0.46875,,,,43,40,Pinus ponderosa,None,Mid,NA,113256,113444,X,X,X,
21,405205,Sierra,High Sierra,Blue Canyon3C,Y,N,"SR, JB",6/22/2017,0.58333333333,,,,332,18,None,None,Mid,NA,103237,103330,X,X,X,No live trees on plot
22,405206,Sierra,High Sierra,Blue Canyon3C,Y,N,"SR, JB",6/26/2017,0.48819444444,,,,5,34,Quercus kelloggii,None,Mid,NA,114335,114521,X,X,X,"no sign of treatment on plot, but clearly surrounded by treated area"
23,405207,Sierra,High Sierra,Blue Canyon3C,Y,N,"SR, JB",6/26/2017,0.64583333333,,,,128,35.5,Quercus kelloggii,None,Mid,NA,152705,152824,X,X,X,
24,405208,Sierra,High Sierra,Blue Canyon3C,Y,N,"SR, JB",6/27/2017,0.33333333333,,,,251,15,Calocedrus decurrens,NA,Upper,NA,82850,83102,X,X,X,
25,405210,Sierra,High Sierra,Blue Canyon3C,Y,N,"JB, SR",6/27/2017,0.44791666667,,,,335,34,Quercus kelloggii,None,Mid,NA,105408,105510,X,X,X,
26,155137,Sierra,Bass Lake,Pine Grove,Y,N,"SR, JB",6/29/2017,0.38194444444,,,,123,13,Quercus kelloggii,None,Mid,NA,91218,91303,X,X,X,
27,155138,Sierra,Bass Lake,Pine Grove,Y,N,"SR, JB",6/29/2017,0.33958333333,,,,320,9,Quercus kelloggii,None,Mid,NA,81014,81051,X,X,X,"no live trees in plot, 3 overstory live QUKE 1m out of plot, 3 live QUKE seedling in plot but outside regen radius"
28,155141,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",6/29/2017,0.43680555556,,,,142,13,Calocedrus decurrens,None,Mid,NA,103039,103138,X,X,X,
29,155142,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",6/29/2017,0.10416666667,,,,161,1,Calocedrus decurrens,None,Upper,NA,150335,150431,X,X,X,javad point taken
30,155143,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",7/3/2017,0.11388888889,,,,118,9,Calocedrus decurrens,None,Upper,NA,144351,144447,X,X,X,
31,155144,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",7/4/2017,0.34722222222,,,,202,7,Calocedrus decurrens,None,Mid,NA,81826,81939,X,X,X,
32,155147,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",7/4/2017,0.52361111111,,,,0,,Calocedrus decurrens,Pinus ponderosa,Upper,NA,122641,122745,X,X,X,"too flat to est slope & aspect; trimble had difficulty getting fix. some GPS points may be off in tree data, especizlly in southeast quadrsnt with high densuty of saplings"
33,155146,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",7/8/2017,0.52430555556,,,,53,24,Calocedrus decurrens,Pinus ponderosa,Mid,NA,123536,123644,X,X,X,
34,155148,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",7/5/2017,0.39583333333,,,,241,5,Calocedrus decurrens,None,Mid,NA,92648,92734,X,X,X,
35,155149,Sierra,Bass Lake,Pine Grove,N,N,"SR, JB",7/13/2017,0.36041666667,,,,203,27,Quercus kelloggii,None,Mid,NA,83239,83344,X,X,X,
36,155161,Sierra,Bass Lake,Foster16,N,N,"SR, JB",7/10/2017,0.35972222222,,,,151,22,Pinus lambertiana,Calocedrus decurrens,Mid,NA,83138,83248,X,X,X,"a lot of trouble getting fix for ICO, was only able to take half of the points with trimble. never got fix for western half of plot in 3 visits so ended up geolocating clumps like witness trees- would measure out to clump from center of plot then shoot an"
37,155162,Sierra,Bass Lake,Foster16,N,N,"SR, JB, AW",7/11/2017,1300,,,,14,15,Calocedrus decurrens,Pinus ponderosa,Mid,30,121221,121340,X,X,X,"a lot of trouble getting fix for ICO, points probably unusable"
38,155163,Sierra,Bass Lake,Foster16,N,N,"sr,jb,aw",7/11/2017,0.47916666667,,,,54,21,Pinus ponderosa,None,Mid,na,144342,144439,X,X,X,"a lot of trouble getting fix on satellites for ICO, points not very accurate, probably unusable"
39,155164,Sierra,Bass Lake,Foster16,N,N,"SR, JB",7/12/2017,0.55555555556,,,,163,22,Calocedrus decurrens,Pinus ponderosa,Mid,50,132924,133039,X,X,X,signs of old treatment/logging
40,155168,Sierra,Bass Lake,Foster16,N,N,"SR, JB",7/10/2017,0.5,,,,212,18,Calocedrus decurrens,None,Mid,15,120446,120615,x,X,X,Had to manually place 3 points in southeast quadrant bc of lack of fix. All points in this quadrant may be a few meters off.
