"ID","PlotName","Clump_ID","TreeNumber","Species","Status","DBH","LiveCrownPercent","InsectEvidence","InsectLevel","FreshPitch","HealthCode","WitnessTree","Buffer","Notes","dist from plot center","azimuth to plot center","shape","azimuth shape","radius line","radius shape","no of trees","no of buffer trees"
3780,304000.00,30.00,40.00,"CADE","D3",72.20,"NA","N","0 - No attack","NA","NA","None","N",,,,,,,,,
3781,304000.00,31.00,41.00,"CADE","D2",16.00,"NA","N","0 - No attack","NA","NA","None","N",,,,,,,,,
3782,304000.00,32.00,42.00,"CADE","D2",12.20,"NA","N","0 - No attack","NA","NA","None","N",,,,,,,,,
3783,304000.00,33.00,43.00,"CADE","D3",11.70,"NA","N","0 - No attack","NA","NA","None","N",,,,,,,,,
3784,304000.00,34.00,44.00,"PILA","L",8.30,"15","N","0 - No attack","N","None","None","N",,,,,,,,,
3785,304000.00,35.00,45.00,"CADE","L",9.90,"10","N","0 - No attack","N","None","None","N",,,,,,,,,
3786,304000.00,36.00,46.00,"CADE","L",11.90,"20","N","0 - No attack","N","None","None","N",,,,,,,,,
3787,304000.00,37.00,47.00,"CADE","D3",86.90,"NA","N","0 - No attack","NA","NA","None","N",,,,,,,,,
3788,304000.00,38.00,48.00,"PSME","L",16.00,"40","N","0 - No attack","N","None","None","N",,,,,,,,,
3789,305000.00,1.00,1.00,"ABCO","D3",78.00,"NA","N","0 - No attack","NA","NA","None","N",,"6.41","206","l","86","0.97","0","2","0"
3790,305000.00,1.00,2.00,"ABCO","L",18.40,"20","N","0 - No attack","Y","None","None","N",,"6.41","206","l","86","0.97","0","2","0"
3791,305000.00,2.00,3.00,"CADE","L",37.30,"30","N","0 - No attack","N","None","None","N",,"9.91","196","p","999","0","0","1","0"
3792,305000.00,3.00,4.00,"CADE","L",31.40,"10","N","0 - No attack","N","None","None","N",,"7.85","214","p","999","0","0","1","0"
3793,305000.00,4.00,5.00,"ABCO","D3",55.00,"NA","Y","2 - heavy attack (>5 pitch tubes)","NA","NA","None","N",,"9.83","208","p","999","0","0","1","0"
3794,305000.00,5.00,6.00,"CADE","L",30.40,"40","N","0 - No attack","N","None","None","N",,"11.24","231","p","999","0","0","1","0"
3795,305000.00,6.00,7.00,"PILA","D3",39.40,"NA","N","0 - No attack","NA","NA","None","N",,"9.05","233","p","999","0","0","1","0"
3796,305000.00,7.00,8.00,"ABCO","D3",79.40,"NA","N","0 - No attack","NA","NA","None","N",,"5.49","242","l","219","0.78","0","2","0"
3797,305000.00,7.00,9.00,"CADE","D3",16.20,"NA","N","0 - No attack","NA","NA","None","N",,"5.49","242","l","219","0.78","0","2","0"
3798,305000.00,8.00,10.00,"CADE","L",29.90,"15","N","0 - No attack","N","None","None","N",,"7.52","236","p","999","0","0","1","0"
3799,305000.00,9.00,11.00,"CADE","D3",9.60,"NA","Y","2 - heavy attack (>5 pitch tubes)","NA","NA","None","N","cbb","6.45","245","p","999","0","0","1","0"
3800,305000.00,10.00,12.00,"ABCO","L",16.30,"55","N","0 - No attack","Y","None","None","N",,"11.43","269","p","999","0","0","1","0"
3801,305000.00,11.00,13.00,"CADE","L",40.30,"40","N","0 - No attack","N","None","W1","N",,"6.67","272","p","999","0","0","1","0"
