"plot","code","species","spha","forest","aoi","loc","treated"
1090082,"ABCO","White fir",1002,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090082,"CADE","Incense cedar",80,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090082,"QUKE","Black oak",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090092,"ABCO","White fir",1063,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090092,"CADE","Incense cedar",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090092,"QUKE","Black oak",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090122,"ABCO","White fir",200,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090122,"CADE","Incense cedar",922,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090122,"PILA","Sugar pine",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090122,"QUKE","Black oak",341,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090132,"ABCO","White fir",140,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090132,"CADE","Incense cedar",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090132,"PILA","Sugar pine",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090132,"QUKE","Black oak",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090142,"ABCO","White fir",140,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090142,"CADE","Incense cedar",321,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090142,"PILA","Sugar pine",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090142,"QUKE","Black oak",40,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090152,"ABCO","White fir",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090152,"CADE","Incense cedar",261,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090152,"PILA","Sugar pine",20,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1510206,"ABCO","White fir",581,"Sierra","Sierra - Bass Lake","Granddad","No"
1510206,"CADE","Incense cedar",160,"Sierra","Sierra - Bass Lake","Granddad","No"
1510206,"PILA","Sugar pine",160,"Sierra","Sierra - Bass Lake","Granddad","No"
1510206,"QUCH","Canyon live oak",20,"Sierra","Sierra - Bass Lake","Granddad","No"
1510206,"QUKE","Black oak",80,"Sierra","Sierra - Bass Lake","Granddad","No"
1510207,"ABCO","White fir",80,"Sierra","Sierra - Bass Lake","Granddad","No"
1510207,"CADE","Incense cedar",60,"Sierra","Sierra - Bass Lake","Granddad","No"
1510207,"PILA","Sugar pine",40,"Sierra","Sierra - Bass Lake","Granddad","No"
1510207,"QUCH","Canyon live oak",40,"Sierra","Sierra - Bass Lake","Granddad","No"
1510207,"QUKE","Black oak",40,"Sierra","Sierra - Bass Lake","Granddad","No"
1510210,"ABCO","White fir",221,"Sierra","Sierra - Bass Lake","Granddad","No"
1510210,"CADE","Incense cedar",140,"Sierra","Sierra - Bass Lake","Granddad","No"
1510210,"PILA","Sugar pine",20,"Sierra","Sierra - Bass Lake","Granddad","No"
1510210,"QUCH","Canyon live oak",20,"Sierra","Sierra - Bass Lake","Granddad","No"
1510210,"QUKE","Black oak",20,"Sierra","Sierra - Bass Lake","Granddad","No"
1676112,"CADE","Incense cedar",1223,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676112,"PILA","Sugar pine",80,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676112,"QUCH","Canyon live oak",381,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676112,"QUKE","Black oak",1023,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676122,"CADE","Incense cedar",3048,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676122,"PILA","Sugar pine",200,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676122,"QUCH","Canyon live oak",261,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676122,"QUKE","Black oak",662,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676132,"CADE","Incense cedar",742,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676132,"PILA","Sugar pine",321,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676132,"QUCH","Canyon live oak",421,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676132,"QUKE","Black oak",702,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676142,"CADE","Incense cedar",2145,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676142,"PILA","Sugar pine",20,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676142,"QUCH","Canyon live oak",281,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676142,"QUKE","Black oak",622,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676152,"CADE","Incense cedar",3328,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676152,"PILA","Sugar pine",120,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676152,"QUCH","Canyon live oak",120,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676152,"QUKE","Black oak",722,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676502,"CADE","Incense cedar",20,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676502,"QUCH","Canyon live oak",261,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676502,"QUKE","Black oak",421,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676522,"CADE","Incense cedar",702,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676522,"PILA","Sugar pine",401,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676522,"QUCH","Canyon live oak",221,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676522,"QUKE","Black oak",1444,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676582,"CADE","Incense cedar",120,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676582,"PILA","Sugar pine",140,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676582,"QUCH","Canyon live oak",180,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1676582,"QUKE","Black oak",321,"Stanislaus","Stanislaus - Groveland","Long Shanahan","No"
1760101,"QUCH","Canyon live oak",1484,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760101,"QUKE","Black oak",80,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760106,"ABCO","White fir",20,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760106,"QUCH","Canyon live oak",702,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760106,"QUKE","Black oak",160,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760116,"CADE","Incense cedar",60,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760116,"PILA","Sugar pine",20,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760116,"QUCH","Canyon live oak",501,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760116,"QUKE","Black oak",662,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760118,"CADE","Incense cedar",60,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760118,"QUCH","Canyon live oak",100,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760118,"QUKE","Black oak",40,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760606,"QUCH","Canyon live oak",60,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760611,"QUCH","Canyon live oak",60,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760611,"QUKE","Black oak",481,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760613,"CADE","Incense cedar",20,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760613,"QUCH","Canyon live oak",40,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760613,"QUKE","Black oak",80,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
1760622,"QUCH","Canyon live oak",160,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod","Yes"
3620022,"ABCO","White fir",1143,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620022,"CADE","Incense cedar",1083,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620022,"PILA","Sugar pine",942,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620032,"ABCO","White fir",662,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620032,"CADE","Incense cedar",1163,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620032,"PILA","Sugar pine",622,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620032,"QUKE","Black oak",20,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620042,"ABCO","White fir",501,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620042,"CADE","Incense cedar",862,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620042,"PILA","Sugar pine",180,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620042,"QUKE","Black oak",120,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620062,"ABCO","White fir",40,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620062,"CADE","Incense cedar",301,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620062,"PILA","Sugar pine",20,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620062,"QUKE","Black oak",40,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620072,"ABCO","White fir",80,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620072,"CADE","Incense cedar",40,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620252,"ABCO","White fir",481,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620252,"CADE","Incense cedar",1764,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620252,"PILA","Sugar pine",40,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620282,"ABCO","White fir",80,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620302,"ABCO","White fir",60,"Eldorado","Eldorado - Placerville","Lincoln","No"
3620302,"CADE","Incense cedar",80,"Eldorado","Eldorado - Placerville","Lincoln","No"
4022022,"CADE","Incense cedar",140,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022022,"QUCH","Canyon live oak",40,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022022,"QUKE","Black oak",20,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022052,"QUCH","Canyon live oak",20,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022062,"ABCO","White fir",20,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022062,"QUCH","Canyon live oak",80,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022072,"QUCH","Canyon live oak",40,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022072,"QUKE","Black oak",80,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022082,"CADE","Incense cedar",20,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022082,"QUCH","Canyon live oak",80,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022082,"QUKE","Black oak",180,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022092,"QUCH","Canyon live oak",481,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
4022092,"QUKE","Black oak",662,"Sierra","Sierra - High Sierra","Blue Canyon3C","No"
17601032,"ABCO","White fir",401,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601032,"CADE","Incense cedar",40,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601032,"PILA","Sugar pine",140,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601032,"PSME","Douglas fir",20,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601032,"QUCH","Canyon live oak",561,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601032,"QUKE","Black oak",281,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601072,"CADE","Incense cedar",1704,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601072,"QUCH","Canyon live oak",1804,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601072,"QUKE","Black oak",60,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601092,"QUCH","Canyon live oak",1203,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601092,"QUKE","Black oak",40,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601112,"QUCH","Canyon live oak",100,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601112,"QUKE","Black oak",241,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601132,"QUCH","Canyon live oak",642,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601132,"QUKE","Black oak",20,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601142,"QUCH","Canyon live oak",1403,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17601142,"QUKE","Black oak",20,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606082,"ABCO","White fir",20,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606082,"CADE","Incense cedar",3068,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606082,"QUCH","Canyon live oak",140,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606082,"QUKE","Black oak",60,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606102,"ABCO","White fir",40,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606102,"CADE","Incense cedar",1223,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606102,"PILA","Sugar pine",80,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606102,"QUCH","Canyon live oak",40,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
17606102,"QUKE","Black oak",60,"Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls","No"
